year,state,state_po,office,totalvotes
2008,ALABAMA,AL,US PRESIDENT,2099819
2008,ALASKA,AK,US PRESIDENT,326197
2008,ARIZONA,AZ,US PRESIDENT,2293475
2008,ARKANSAS,AR,US PRESIDENT,1086617
2008,CALIFORNIA,CA,US PRESIDENT,13561900
2008,COLORADO,CO,US PRESIDENT,2401361
2008,CONNECTICUT,CT,US PRESIDENT,1646792
2008,DELAWARE,DE,US PRESIDENT,412412
2008,DISTRICT OF COLUMBIA,DC,US PRESIDENT,265853
2008,FLORIDA,FL,US PRESIDENT,8390744
2008,GEORGIA,GA,US PRESIDENT,3924486
2008,HAWAII,HI,US PRESIDENT,456064
2008,IDAHO,ID,US PRESIDENT,655122
2008,ILLINOIS,IL,US PRESIDENT,5522371
2008,INDIANA,IN,US PRESIDENT,2751054
2008,IOWA,IA,US PRESIDENT,1537123
2008,KANSAS,KS,US PRESIDENT,1235872
2008,KENTUCKY,KY,US PRESIDENT,1826620
2008,LOUISIANA,LA,US PRESIDENT,1960761
2008,MAINE,ME,US PRESIDENT,731163
2008,MARYLAND,MD,US PRESIDENT,2631596
2008,MASSACHUSETTS,MA,US PRESIDENT,3102995
2008,MICHIGAN,MI,US PRESIDENT,5001596
2008,MINNESOTA,MN,US PRESIDENT,2910369
2008,MISSISSIPPI,MS,US PRESIDENT,1289865
2008,MISSOURI,MO,US PRESIDENT,2925205
2008,MONTANA,MT,US PRESIDENT,490109
2008,NEBRASKA,NE,US PRESIDENT,801281
2008,NEVADA,NV,US PRESIDENT,967848
2008,NEW HAMPSHIRE,NH,US PRESIDENT,710970
2008,NEW JERSEY,NJ,US PRESIDENT,3868237
2008,NEW MEXICO,NM,US PRESIDENT,830158
2008,NEW YORK,NY,US PRESIDENT,7722019
2008,NORTH CAROLINA,NC,US PRESIDENT,4310851
2008,NORTH DAKOTA,ND,US PRESIDENT,316621
2008,OHIO,OH,US PRESIDENT,5708350
2008,OKLAHOMA,OK,US PRESIDENT,1462661
2008,OREGON,OR,US PRESIDENT,1827864
2008,PENNSYLVANIA,PA,US PRESIDENT,6013272
2008,RHODE ISLAND,RI,US PRESIDENT,471766
